subject,date,count
politicsNews,2016-01,246
politicsNews,2016-02,432
politicsNews,2016-03,490
politicsNews,2016-04,383
politicsNews,2016-05,394
politicsNews,2016-06,419
politicsNews,2016-07,338
politicsNews,2016-08,265
politicsNews,2016-09,351
politicsNews,2016-10,336
politicsNews,2016-11,637
politicsNews,2016-12,425
politicsNews,2017-01,750
politicsNews,2017-02,591
politicsNews,2017-03,684
politicsNews,2017-04,543
politicsNews,2017-05,505
politicsNews,2017-06,556
politicsNews,2017-07,540
politicsNews,2017-08,435
worldnews,2017-08,222
politicsNews,2017-09,497
worldnews,2017-09,2577
politicsNews,2017-10,528
worldnews,2017-10,2644
politicsNews,2017-11,511
worldnews,2017-11,2585
politicsNews,2017-12,416
worldnews,2017-12,2117
